[23/Nov/2019:18:23:07] VendorID=5037 Code=C AcctID=5317605039838520	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Dream Crusher	category
[23/Nov/2019:19:13:18] VendorID=4113 Code=F AcctID=2760177906383502	VendorCountry=Germany	VendorStateProvince=District_1	product_name=Dream Changer	categoryId=STRATEGY	price=87.22
[23/Nov/2019:19:13:51] VendorID=1017 Code=H AcctID=6849123261201535	VendorCountry=United States	VendorStateProvince=Alabama	product_name=World of Wonder	categoryId=STRATEGY	price=37.20
[23/Nov/2019:19:14:01] VendorID=1142 Code=L AcctID=6616394347116543	VendorCountry=Canada	VendorStateProvince=Province_1	product_name=World of Cheese	categoryId=STRATEGY	price=56.56
[23/Nov/2019:19:14:34] VendorID=3103 Code=D AcctID=3019632385065053	VendorCountry=Canada	VendorStateProvince=Province_1	product_name=Dream Crusher	categoryId=STRATEGY	price=10.45
[23/Nov/2019:19:14:38] VendorID=1024 Code=E AcctID=6173555513361250	VendorCountry=Germany	VendorStateProvince=District_1	product_name=Dream Changer	categoryId=STRATEGY	price=87.22
[23/Nov/2019:19:14:55] VendorID=1152 Code=D AcctID=4395772983152997	VendorCountry=Canada	VendorStateProvince=Province_1	product_name=World of Cheese	categoryId=STRATEGY	price=56.56
[23/Nov/2019:19:15:25] VendorID=1198 Code=M AcctID=9564599665408657	VendorCountry=United States	VendorStateProvince=California	product_name=Life in Mars	categoryId=STRATEGY	price=36.75
[23/Nov/2019:19:15:45] VendorID=1283 Code=D AcctID=3818110879076629	VendorCountry=Canada	VendorStateProvince=Province_1	product_name=Dream Crusher	categoryId=STRATEGY	price=10.45
[23/Nov/2019:19:16:00] VendorID=1124 Code=G AcctID=4637285100837710	VendorCountry=United States	VendorStateProvince=Alabama	product_name=World of Wonder	categoryId=STRATEGY	price=37.20
[23/Nov/2019:19:16:16] VendorID=1113 Code=N AcctID=8610959185981582	VendorCountry=Canada	VendorStateProvince=Province_1	product_name=World of Cheese	categoryId=STRATEGY	price=56.56
[23/Nov/2019:19:16:51] VendorID=3109 Code=L AcctID=4604332533323052	VendorCountry=United States	VendorStateProvince=Alabama	product_name=World of Wonder	categoryId=STRATEGY	price=37.20
[23/Nov/2019:19:17:08] VendorID=1141 Code=E AcctID=3177727438662766	VendorCountry=Canada	VendorStateProvince=Province_1	product_name=World of Cheese	categoryId=STRATEGY	price=56.56
[23/Nov/2019:19:17:33] VendorID=1141 Code=L AcctID=4903918084144590	VendorCountry=United States	VendorStateProvince=California	product_name=Life in Mars	categoryId=STRATEGY	price=36.75
[23/Nov/2019:19:17:37] VendorID=5014 Code=B AcctID=9963304090507088	VendorCountry=Germany	VendorStateProvince=District_1	product_name=Dream Changer	categoryId=STRATEGY	price=87.22
[23/Nov/2019:19:18:01] VendorID=1122 Code=N AcctID=9223073113040601	VendorCountry=United States	VendorStateProvince=Alabama	product_name=World of Wonder	categoryId=STRATEGY	price=37.20
[23/Nov/2019:19:18:29] VendorID=1021 Code=C AcctID=3627455753065976	VendorCountry=United States	VendorStateProvince=California	product_name=Life in Mars	categoryId=STRATEGY	price=36.75
[23/Nov/2019:19:18:35] VendorID=1090 Code=F AcctID=7864980866072248	VendorCountry=Germany	VendorStateProvince=District_2	product_name=Virtual Kingdom	categoryId=NEGOTIATION	price=407.76
[23/Nov/2019:19:19:06] VendorID=3107 Code=C AcctID=6234592647793045	VendorCountry=Canada	VendorStateProvince=Province_1	product_name=Dream Crusher	categoryId=STRATEGY	price=10.45
[23/Nov/2019:19:19:33] VendorID=1027 Code=B AcctID=4212607259083612	VendorCountry=Germany	VendorStateProvince=District_2	product_name=Virtual Kingdom	categoryId=NEGOTIATION	price=407.76
[23/Nov/2019:19:19:54] VendorID=3113 Code=F AcctID=1294867951879767	VendorCountry=Germany	VendorStateProvince=District_1	product_name=Dream Changer	categoryId=STRATEGY	price=87.22
[23/Nov/2019:19:20:06] VendorID=9105 Code=K AcctID=3968706781864565	VendorCountry=Canada	VendorStateProvince=Province_1	product_name=Dream Crusher	categoryId=STRATEGY	price=10.45
